Leter;Number;;;
0,96969697;0,939393939;;0,038400068;0,897698792
0,909090909;0,939393939;;;
0,893939394;0,984848485;;0,023107315;0,962292094
0,833333333;0,954545455;;;
0,909090909;0,984848485;;;
0,878787879;0,924242424;;;
0,893939394;0,939393939;;;
0,818181818;0,954545455;;;
0,878787879;0,96969697;;;
0,924242424;0,954545455;;;
0,893939394;0,924242424;;;
0,909090909;0,939393939;;;
0,878787879;0,924242424;;;
0,924242424;0,939393939;;;
0,863636364;0,954545455;;;
0,954545455;0,984848485;;;
0,893939394;0,924242424;;;
0,909090909;0,939393939;;;
0,924242424;0,939393939;;;
0,924242424;0,96969697;;;
0,848484848;0,96969697;;;
0,848484848;0,984848485;;;
0,848484848;0,954545455;;;
0,939393939;0,924242424;;;
0,939393939;0,924242424;;;
0,893939394;0,984848485;;;
0,96969697;0,96969697;;;
0,909090909;0,909090909;;;
0,818181818;0,954545455;;;
0,878787879;0,954545455;;;
0,924242424;0,924242424;;;
0,909090909;0,939393939;;;
0,924242424;1;;;
0,939393939;0,984848485;;;
0,909090909;0,96969697;;;
0,878787879;0,939393939;;;
0,863636364;0,96969697;;;
0,924242424;0,954545455;;;
0,893939394;1;;;
0,878787879;0,939393939;;;
0,863636364;0,954545455;;;
0,954545455;0,939393939;;;
0,96969697;0,96969697;;;
0,893939394;0,96969697;;;
0,878787879;1;;;
0,909090909;0,96969697;;;
0,924242424;0,909090909;;;
0,787878788;0,984848485;;;
0,909090909;0,939393939;;;
0,833333333;0,893939394;;;
0,924242424;0,96969697;;;
0,924242424;0,924242424;;;
0,924242424;0,984848485;;;
0,878787879;0,954545455;;;
0,742424242;0,984848485;;;
0,954545455;0,909090909;;;
0,909090909;0,96969697;;;
0,924242424;0,954545455;;;
0,909090909;0,96969697;;;
0,878787879;0,939393939;;;
0,939393939;0,954545455;;;
0,96969697;0,96969697;;;
0,878787879;0,909090909;;;
0,893939394;0,954545455;;;
0,939393939;0,954545455;;;
0,924242424;0,96969697;;;
0,833333333;0,984848485;;;
0,893939394;0,954545455;;;
0,863636364;0,939393939;;;
0,909090909;0,954545455;;;
0,863636364;0,96969697;;;
0,893939394;0,954545455;;;
0,727272727;0,96969697;;;
0,878787879;0,984848485;;;
0,848484848;0,924242424;;;
0,924242424;0,96969697;;;
0,909090909;0,96969697;;;
0,893939394;0,96969697;;;
0,939393939;0,984848485;;;
0,818181818;1;;;
0,848484848;0,984848485;;;
0,893939394;0,954545455;;;
0,878787879;0,984848485;;;
0,833333333;0,984848485;;;
0,863636364;0,96969697;;;
0,924242424;1;;;
0,924242424;0,96969697;;;
0,818181818;1;;;
0,909090909;0,96969697;;;
0,924242424;0,96969697;;;
0,893939394;0,96969697;;;
0,954545455;0,954545455;;;
0,909090909;0,954545455;;;
0,863636364;0,924242424;;;
0,893939394;0,924242424;;;
0,909090909;0,939393939;;;
0,878787879;0,984848485;;;
0,878787879;0,939393939;;;
0,878787879;1;;;
0,909090909;0,924242424;;;
0,924242424;0,984848485;;;
0,848484848;0,924242424;;;
0,924242424;0,96969697;;;
0,848484848;0,939393939;;;
0,939393939;0,954545455;;;
0,939393939;0,954545455;;;
0,909090909;0,924242424;;;
0,909090909;0,954545455;;;
0,924242424;0,984848485;;;
0,924242424;0,96969697;;;
0,909090909;0,939393939;;;
0,924242424;0,96969697;;;
0,939393939;0,96969697;;;
0,909090909;0,96969697;;;
0,878787879;0,96969697;;;
0,939393939;0,924242424;;;
0,833333333;0,984848485;;;
0,878787879;0,939393939;;;
0,909090909;0,96969697;;;
0,848484848;0,954545455;;;
0,893939394;0,954545455;;;
0,878787879;0,96969697;;;
0,863636364;0,984848485;;;
0,96969697;0,954545455;;;
0,893939394;0,96969697;;;
0,924242424;0,96969697;;;
0,954545455;0,96969697;;;
0,939393939;0,984848485;;;
0,893939394;0,96969697;;;
0,863636364;0,96969697;;;
0,803030303;0,939393939;;;
0,939393939;0,984848485;;;
0,878787879;0,984848485;;;
0,848484848;0,96969697;;;
0,924242424;0,954545455;;;
0,833333333;0,96969697;;;
0,924242424;0,939393939;;;
0,863636364;0,96969697;;;
0,924242424;0,954545455;;;
0,893939394;1;;;
0,909090909;0,954545455;;;
0,954545455;0,924242424;;;
0,96969697;0,924242424;;;
0,924242424;0,96969697;;;
0,893939394;0,939393939;;;
0,893939394;0,96969697;;;
0,909090909;0,96969697;;;
0,954545455;0,939393939;;;
0,96969697;0,984848485;;;
0,878787879;0,984848485;;;
0,924242424;0,924242424;;;
0,833333333;0,96969697;;;
0,909090909;0,96969697;;;
0,924242424;0,939393939;;;
0,924242424;0,939393939;;;
0,893939394;1;;;
0,909090909;1;;;
0,848484848;0,984848485;;;
0,818181818;0,909090909;;;
0,954545455;0,984848485;;;
0,909090909;0,984848485;;;
0,909090909;0,893939394;;;
0,924242424;0,96969697;;;
0,893939394;1;;;
0,833333333;0,924242424;;;
0,848484848;1;;;
0,893939394;0,984848485;;;
0,909090909;0,954545455;;;
0,848484848;0,984848485;;;
0,939393939;0,984848485;;;
0,909090909;0,924242424;;;
0,924242424;0,96969697;;;
0,893939394;0,924242424;;;
0,939393939;0,96969697;;;
0,909090909;1;;;
0,924242424;0,96969697;;;
0,893939394;0,984848485;;;
0,924242424;0,909090909;;;
0,909090909;0,924242424;;;
0,893939394;1;;;
0,893939394;0,954545455;;;
0,878787879;0,924242424;;;
0,909090909;0,96969697;;;
0,818181818;0,954545455;;;
0,96969697;0,96969697;;;
0,954545455;0,96969697;;;
0,939393939;0,96969697;;;
0,848484848;0,984848485;;;
0,893939394;0,984848485;;;
0,954545455;0,984848485;;;
0,939393939;0,939393939;;;
0,924242424;0,924242424;;;
0,893939394;0,954545455;;;
0,893939394;0,984848485;;;
0,924242424;0,984848485;;;
0,863636364;0,96969697;;;
1;0,939393939;;;
0,924242424;0,954545455;;;
0,893939394;0,954545455;;;
0,848484848;0,984848485;;;
0,909090909;0,924242424;;;
0,878787879;0,984848485;;;
0,878787879;0,96969697;;;
0,909090909;0,984848485;;;
0,924242424;0,96969697;;;
0,924242424;0,954545455;;;
0,878787879;0,984848485;;;
0,954545455;0,954545455;;;
0,863636364;0,96969697;;;
0,863636364;0,954545455;;;
0,893939394;0,984848485;;;
0,96969697;0,954545455;;;
0,863636364;0,954545455;;;
0,939393939;0,984848485;;;
0,96969697;0,909090909;;;
0,893939394;0,984848485;;;
0,954545455;0,96969697;;;
0,878787879;0,96969697;;;
0,909090909;0,939393939;;;
0,893939394;0,96969697;;;
0,893939394;0,984848485;;;
0,939393939;0,939393939;;;
0,939393939;0,96969697;;;
0,833333333;0,96969697;;;
0,924242424;0,954545455;;;
0,909090909;0,939393939;;;
0,924242424;0,984848485;;;
0,924242424;0,954545455;;;
0,954545455;0,939393939;;;
0,96969697;1;;;
0,878787879;0,984848485;;;
0,878787879;0,924242424;;;
0,909090909;0,939393939;;;
0,893939394;0,96969697;;;
0,893939394;0,96969697;;;
0,939393939;0,984848485;;;
0,924242424;0,954545455;;;
0,878787879;0,954545455;;;
0,878787879;0,954545455;;;
0,939393939;1;;;
0,893939394;0,96969697;;;
0,893939394;0,939393939;;;
0,878787879;0,939393939;;;
0,924242424;1;;;
0,863636364;0,984848485;;;
0,893939394;0,954545455;;;
0,863636364;0,954545455;;;
0,909090909;0,954545455;;;
0,909090909;0,96969697;;;
0,909090909;1;;;
0,954545455;0,96969697;;;
0,939393939;0,96969697;;;
0,924242424;0,939393939;;;
0,924242424;0,954545455;;;
0,909090909;0,924242424;;;
0,833333333;0,954545455;;;
0,848484848;0,939393939;;;
0,939393939;1;;;
0,924242424;0,954545455;;;
0,924242424;0,96969697;;;
0,909090909;0,984848485;;;
0,909090909;0,96969697;;;
0,954545455;0,954545455;;;
0,848484848;0,96969697;;;
0,924242424;0,96969697;;;
0,863636364;0,924242424;;;
0,893939394;0,96969697;;;
0,878787879;0,96969697;;;
0,848484848;0,984848485;;;
0,924242424;0,984848485;;;
0,893939394;0,96969697;;;
0,939393939;0,984848485;;;
0,863636364;1;;;
0,878787879;0,954545455;;;
0,909090909;1;;;
0,939393939;0,96969697;;;
0,909090909;0,924242424;;;
0,878787879;0,96969697;;;
0,863636364;0,984848485;;;
0,818181818;0,96969697;;;
0,939393939;0,984848485;;;
0,924242424;0,939393939;;;
0,863636364;0,984848485;;;
0,909090909;0,954545455;;;
0,893939394;0,954545455;;;
0,893939394;0,939393939;;;
0,909090909;0,954545455;;;
0,909090909;0,96969697;;;
0,939393939;0,96969697;;;
0,909090909;0,893939394;;;
0,924242424;1;;;
0,909090909;0,939393939;;;
0,848484848;0,96969697;;;
0,939393939;0,96969697;;;
0,909090909;0,939393939;;;
0,924242424;1;;;
0,893939394;0,984848485;;;
0,878787879;0,96969697;;;
0,818181818;0,96969697;;;
0,924242424;1;;;
0,893939394;0,96969697;;;
0,878787879;0,96969697;;;
0,863636364;0,939393939;;;
0,893939394;0,954545455;;;
0,818181818;0,939393939;;;
0,878787879;0,96969697;;;
0,924242424;0,984848485;;;
0,924242424;0,924242424;;;
0,848484848;0,96969697;;;
0,924242424;0,954545455;;;
0,863636364;0,984848485;;;
0,893939394;0,984848485;;;
0,878787879;0,924242424;;;
0,878787879;0,96969697;;;
0,893939394;0,939393939;;;
0,954545455;0,984848485;;;
0,893939394;0,954545455;;;
0,909090909;1;;;
0,924242424;0,96969697;;;
0,878787879;0,954545455;;;
0,924242424;0,96969697;;;
0,878787879;0,909090909;;;
0,96969697;0,939393939;;;
0,893939394;1;;;
0,848484848;0,96969697;;;
0,878787879;0,984848485;;;
0,878787879;0,954545455;;;
0,909090909;0,984848485;;;
0,893939394;0,96969697;;;
0,893939394;0,96969697;;;
0,878787879;0,96969697;;;
0,848484848;0,96969697;;;
0,96969697;0,954545455;;;
0,924242424;0,96969697;;;
0,863636364;0,954545455;;;
0,924242424;0,96969697;;;
0,878787879;0,939393939;;;
0,833333333;0,984848485;;;
0,878787879;0,984848485;;;
0,863636364;0,939393939;;;
0,893939394;0,96969697;;;
0,833333333;0,96969697;;;
0,833333333;0,984848485;;;
0,863636364;0,954545455;;;
0,833333333;0,954545455;;;
0,833333333;0,984848485;;;
0,848484848;0,954545455;;;
0,924242424;0,954545455;;;
0,863636364;0,954545455;;;
0,863636364;0,939393939;;;
0,939393939;0,954545455;;;
0,909090909;0,984848485;;;
0,833333333;0,939393939;;;
0,878787879;0,954545455;;;
0,924242424;0,96969697;;;
0,893939394;0,984848485;;;
0,909090909;0,96969697;;;
0,909090909;0,954545455;;;
0,848484848;0,96969697;;;
0,878787879;0,984848485;;;
0,909090909;0,96969697;;;
0,939393939;0,96969697;;;
0,893939394;0,96969697;;;
0,893939394;0,939393939;;;
0,863636364;0,96969697;;;
0,863636364;0,984848485;;;
