max_depth;Accuracy  Leter;Accuracy Number
1;0,106060606;0,209090909
2;0,190909091;0,36969697
3;0,348484848;0,575757576
4;0,503030303;0,651515152
5;0,6;0,663636364
6;0,6;0,681818182
7;0,618181818;0,66969697
8;0,584848485;0,654545455
9;0,609090909;0,672727273
10;0,606060606;0,696969697
20;0,578787879;0,660606061
30;0,590909091;0,684848485
40;0,581818182;0,675757576
50;0,590909091;0,660606061
60;0,603030303;0,687878788
70;0,593939394;0,66969697
80;0,612121212;0,660606061
90;0,6;0,672727273
100;0,6;0,663636364
200;0,593939394;0,657575758
300;0,6;0,678787879
400;0,593939394;0,672727273
500;0,636363636;0,66969697
600;0,6;0,681818182
700;0,575757576;0,66969697
800;0,578787879;0,678787879
900;0,63030303;0,672727273
1000;0,581818182;0,690909091
2000;0,618181818;0,675757576
3000;0,615151515;0,681818182
4000;0,615151515;0,651515152
5000;0,593939394;0,663636364
6000;0,603030303;0,675757576
7000;0,615151515;0,657575758
8000;0,6;0,712121212
9000;0,633333333;0,666666667
