neighbors; Acurray Leter; Acurray Number
1;0,612121212;0,772727273
2;0,551515152;0,712121212
3;0,487878788;0,678787879
4;0,460606061;0,663636364
5;0,433333333;0,609090909
6;0,415151515;0,56969697
7;0,354545455;0,542424242
8;0,321212121;0,533333333
9;0,306060606;0,503030303
10;0,303030303;0,503030303
11;0,284848485;0,46969697
12;0,263636364;0,445454545
13;0,254545455;0,43030303
14;0,227272727;0,409090909
15;0,190909091;0,390909091
16;0,178787879;0,363636364
17;0,154545455;0,360606061
18;0,145454545;0,315151515
19;0,136363636;0,290909091
