max_iter ;Number Accuracy Poly;Leter Accuracy Poly;Number Accuracy Rbf;Leter Accuracy Rbf;Number Accuracy Linear;Leter Accuracy Linear
1;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
2;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
3;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
4;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
5;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
6;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
7;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
8;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
9;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
10;0,848484848;0,706060606;0,121212121;0,06969697;0,96969697;0,909090909
